Language,Education,Experience,NativeSpeaker,NoBadHabits,Result
En,MD,3,2,2,yes
En,MD,3,0,0,yes
En,MD,3,1,1,yes
En,MD,4,0,1,yes
En,MD,-1,0,2,yes
En,MD,-1,2,0,yes
En,MD,2,0,2,yes
En,MD,0,0,2,yes
En,MD,0,0,0,yes
En,MD,0,1,1,yes
En,MD,2,0,2,yes
En,BD,3,1,1,yes
En,BD,1,0,0,yes
En,BD,1,2,2,yes
En,BD,2,0,0,yes
En,BD,-1,1,1,yes
En,BD,-1,2,2,yes
En,BD,5,1,2,yes
En,BD,7,0,1,yes
En,BD,8,0,2,yes
En,BD,0,2,1,yes
En,GSE,0,0,0,no
En,GSE,-1,1,1,no
En,GSE,2,0,0,no
En,GSE,2,1,1,no
En,GSE,1,0,0,no
En,GSE,3,1,1,yes
En,GSE,2,2,2,yes
En,GSE,3,0,2,yes
En,GSE,1,2,2,yes
En,GSE,4,0,2,yes
En,GSE,3,2,1,yes
En,GSE,-1,2,2,yes
Fr,MD,3,0,2,yes
Fr,MD,3,0,1,yes
Fr,MD,4,0,0,yes
Fr,MD,2,1,2,yes
Fr,MD,-1,2,1,yes
Fr,MD,1,2,2,yes
Fr,MD,5,0,0,yes
Fr,MD,10,0,2,yes
Fr,MD,2,0,2,no
Fr,MD,-1,0,2,no
Fr,MD,1,0,1,no
Fr,MD,0,0,2,no
Fr,BD,1,2,0,no
Fr,BD,2,1,1,no
Fr,BD,0,0,0,no
Fr,BD,-1,2,2,no
Fr,BD,2,1,1,no
Fr,BD,3,0,2,no
Fr,BD,5,1,2,yes
Fr,BD,3,1,0,no
Fr,BD,10,2,0,yes
Fr,BD,5,2,2,yes
Fr,BD,3,1,2,yes
Fr,BD,11,2,1,yes
Fr,BD,10,1,2,yes
Fr,GSE,2,0,2,no
Fr,GSE,3,0,0,no
Fr,GSE,5,0,1,no
Fr,GSE,5,1,2,no
Fr,GSE,-1,0,2,no
Fr,GSE,0,1,2,no
Fr,GSE,1,0,2,no
Fr,GSE,-1,2,2,no
Ch,MD,5,2,2,yes
Ch,MD,10,2,2,yes
Ch,MD,15,2,2,yes
Ch,MD,3,0,2,no
Ch,MD,7,2,2,yes
Ch,MD,12,2,2,yes
Ch,MD,4,2,2,yes
Ch,MD,3,2,2,yes
Ch,MD,20,2,2,yes
Ch,MD,2,0,2,no
Ch,MD,-1,2,2,no
Ch,MD,1,0,2,no
Ch,MD,2,2,1,no
Ch,MD,0,0,2,no
Ch,MD,1,2,2,no
Ch,MD,-1,2,0,no
Ch,MD,2,0,0,no
Ch,BD,5,2,0,no
Ch,BD,10,0,2,no
Ch,BD,7,0,1,no
Ch,BD,2,1,1,no
Ch,BD,1,1,2,no
Ch,BD,-1,0,2,no
Ch,BD,0,2,2,no
Ch,BD,3,1,2,no
Ch,BD,10,2,2,no
Ch,GSE,5,0,2,no
Ch,GSE,7,2,2,no
Ch,GSE,3,0,1,no
Ch,GSE,0,0,2,no
Ch,GSE,2,1,2,no
Ch,GSE,1,0,2,no
Ch,GSE,5,2,1,no
Ch,GSE,8,1,0,no
